target,period_key,consume_kwh
全部统计电表,2026-03-22,0.0
全部统计电表,2026-03-23,0.0
全部统计电表,2026-03-24,0.0
全部统计电表,2026-03-25,0.0
全部统计电表,2026-03-26,0.0
全部统计电表,2026-03-27,6.376
全部统计电表,2026-03-28,0.0
