source_key,source_type,meter_id,display_name,area_name,visible_in_meter_center,include_in_totals,include_in_reports,online,protocol,ip,port,station_id,realtime_power,daily_energy,monthly_energy,electric_energy,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power_factor,frequency,updated_at
cabinet:0,cabinet_meter,cabinet_meter_0,中控室,,0,0,1,1,AV-100,192.168.50.6,502,50,1.67,0.1,210.9,22122.91,223.2,222.8,223.1,1.0,1.2,5.3,0.0,0.0,
cabinet:1,cabinet_meter,cabinet_meter_1,二号厅LED,,1,1,1,1,AV-100,192.168.80.243,502,50,9.92,0.4,74192.8,39074.8,225.1,224.5,225.4,0.0,0.0,44.0,0.0,0.0,
cabinet:2,cabinet_meter,cabinet_meter_2,影棚配电柜,,1,1,1,1,AV-100,192.168.50.60,502,50,0.43,0.0,18.3,3512.4,225.2,224.6,225.7,0.2,0.5,1.2,0.0,0.0,
cabinet:3,cabinet_meter,cabinet_meter_3,影棚LED配电柜,,1,1,1,1,AV-100,192.168.50.61,5061,50,0.0,0.0,64.3,9017.22,225.3,225.1,226.2,0.0,0.0,0.0,0.0,0.0,
cabinet:4,cabinet_meter,cabinet_meter_4,门口LED,,1,1,1,1,AV-100,192.168.50.59,5059,50,0.0,0.0,28.9,15.4,221.4,222.9,223.7,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_2,standalone_meter,legacy_meter_2,深澜空间总电表,,0,0,1,1,PD606 Modbus 地址表,192.168.50.103,502,1,2.225,0.3,10.8,242664.208,222.5,222.5,223.4,22.25,5.34,22.25,0.0,0.0,
meter:legacy_meter_3,standalone_meter,legacy_meter_3,二号厅,,1,0,1,1,南誉三相四线 Modbus,192.168.50.105,502,1,0.2391,0.0,671069.6,37680.25,222.8,208.3,223.6,2.085,0.471,0.916,0.0,0.0,
meter:legacy_meter_5,standalone_meter,legacy_meter_5,中控室,,1,1,1,1,德力西 DTSU6606 直连 Modbus,192.168.50.101,502,1,1.13,11447.7,671131.2,11453.07,223.1,222.9,222.8,22.29,0.23,5.37,0.0,0.0,
meter:legacy_meter_6,standalone_meter,legacy_meter_6,运营中心,,0,0,1,1,南誉三相四线 Modbus,192.168.50.104,502,10,0.6587,0.0,6732548.6,16673.37,222.8,0.0,222.9,2.084,1.115,0.0,0.0,0.0,
meter:legacy_meter_12,standalone_meter,legacy_meter_12,办公室,,0,0,0,1,南誉三相四线 Modbus,192.168.50.106,502,1,0.059,0.0,671068.1,574.54,222.9,19.4,223.7,0.391,0.39,0.0,0.0,0.0,
meter:legacy_meter_9,standalone_meter,legacy_meter_9,办公室&工作坊,,1,1,1,1,南誉三相四线 Modbus,192.168.50.104,502,9,0.3392,0.1,17042930.0,2883.8,223.0,222.9,223.6,2.231,0.978,2.239,0.0,0.0,
meter:legacy_meter_10,standalone_meter,legacy_meter_10,2楼小机房,,1,1,1,1,南誉 2P Int Modbus,192.168.50.102,502,11,0.272,0.0,0.8,6546.22,222.7,0.0,0.0,2.75,0.0,0.0,0.0,0.0,
meter:legacy_meter_11,standalone_meter,legacy_meter_11,咖啡厅,,1,1,1,1,南誉三相四线 Modbus,192.168.50.104,502,8,0.1115,0.0,5570165.6,22.28,223.0,62.4,223.1,0.0,0.077,0.61,0.0,0.0,
meter:meter_1774625129670,standalone_meter,meter_1774625129670,一号厅,一号厅,1,1,1,1,Modbus-RTU/TCP,192.168.1.200,502,1,0.57,0.0,0.0,10669.83,223.2,223.0,223.0,0.0,0.97,0.03,0.0,0.0,
meter:meter_1774629630399,standalone_meter,meter_1774629630399,运营中心,,1,1,1,1,Modbus-RTU/TCP,192.168.1.200,502,1,0.6587,0.0,6732519.7,16657.97,222.8,0.0,222.9,2.084,1.115,0.0,0.0,0.0,
