source_key,source_type,meter_id,display_name,area_name,visible_in_meter_center,include_in_totals,include_in_reports,online,protocol,ip,port,station_id,realtime_power,daily_energy,monthly_energy,electric_energy,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power_factor,frequency,updated_at
cabinet:0,cabinet_meter,cabinet_meter_0,中控室,,0,0,1,1,AV-100,192.168.50.6,502,50,1.51,0.1,0.1,22012.36,224.7,224.5,224.7,0.9,1.1,4.7,0.0,0.0,
cabinet:1,cabinet_meter,cabinet_meter_1,二号厅LED,,1,1,1,1,AV-100,192.168.80.243,502,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
cabinet:2,cabinet_meter,cabinet_meter_2,影棚配电柜,,1,1,1,1,AV-100,192.168.50.60,502,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
cabinet:3,cabinet_meter,cabinet_meter_3,影棚LED配电柜,,1,1,1,1,AV-100,192.168.50.61,5061,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
cabinet:4,cabinet_meter,cabinet_meter_4,门口LED,,1,1,1,1,AV-100,192.168.50.59,5059,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_2,standalone_meter,legacy_meter_2,深澜空间总电表,,0,0,1,0,PD606 Modbus 地址表,192.168.50.103,502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_3,standalone_meter,legacy_meter_3,二号厅,,1,0,1,0,南誉三相四线 Modbus,192.168.50.105,502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_5,standalone_meter,legacy_meter_5,中控室,,1,1,1,0,德力西 DTSU6606 直连 Modbus,192.168.50.101,502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_6,standalone_meter,legacy_meter_6,运营中心,,0,0,1,0,南誉三相四线 Modbus,192.168.50.104,502,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_12,standalone_meter,legacy_meter_12,办公室,,0,0,0,0,南誉三相四线 Modbus,192.168.50.106,502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_9,standalone_meter,legacy_meter_9,办公室&工作坊,,1,1,1,0,南誉三相四线 Modbus,192.168.50.104,502,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_10,standalone_meter,legacy_meter_10,2楼小机房,,1,1,1,0,南誉 2P Int Modbus,192.168.50.102,502,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_11,standalone_meter,legacy_meter_11,咖啡厅,,1,1,1,0,南誉三相四线 Modbus,192.168.50.104,502,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:meter_1774625129670,standalone_meter,meter_1774625129670,一号厅,一号厅,1,1,1,0,Modbus-RTU/TCP,192.168.1.200,502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
meter:meter_1774629630399,standalone_meter,meter_1774629630399,运营中心,,1,1,1,0,Modbus-RTU/TCP,192.168.1.200,502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
